,name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,winRate,killsPerGame,deathsPerGame,assistsPerGame,hitRate,headshotRate,winRateAlt,kdRatioAlt
34,DaydayLadd96#1594916,21,363,0.7303822937625755,9,11,4,5,767,33,65,3.6666666666666665,9,49,6360,58550,327.9090909090909,7127,497,0.84,40.333333333333336,55.22222222222222,5.444444444444445,0.10761891398905571,0.00912024694822506,1.8456686449624244,1.6048139267063335
35,S3ND3RBUB12#9216137,80,1213,0.6472785485592316,9,27,7,22,4132,246,196,5.125,48,302,23006,264685,185.6634146341464,27138,1874,0.9195402298850575,25.270833333333332,39.041666666666664,6.291666666666667,0.1522588252634682,0.007222345051219692,3.559725067501509,2.50574537152149
36,Die#1566463,152,4753,1.0245742616943307,11,44,6,7,21934,320,661,2.302158273381295,139,948,95160,632675,330.991875,117094,4639,0.9620253164556962,34.194244604316545,33.37410071942446,6.820143884892087,0.18731958938972107,0.005645037320443405,4.747088847062438,5.055734986887298
38,McWiggins14#5533106,1,6,0.4285714285714285,1,1,0,0,29,1,1,1.0,0,1,96,625,226.2,125,14,1.0,0.0,0.0,0.0,0.232,0.008,0.0,0.0
40,Manuel Alarcon1#6037069,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,LEAN GAL#3205759,3,9,0.3461538461538461,2,1,0,0,35,4,4,4.0,0,8,225,1575,338.55,260,26,1.0,0.0,0.0,0.0,0.1346153846153846,0.015384615384615385,0.0,0.0
42,Ludsghy#4258818,57,2155,0.906986531986532,10,31,7,2,8138,131,489,2.1475409836065573,61,915,53259,325420,226.9053435114504,61397,2376,0.890625,35.32786885245902,38.950819672131146,15.0,0.13254719285958597,0.007964558528918352,3.6612470352793554,3.7285072295006256
44,swayfaze097#4838954,23,414,0.5447368421052632,8,12,5,0,904,41,37,2.5625,16,53,5295,73333,256.44878048780487,6199,760,0.8214285714285714,25.875,47.5,3.3125,0.14582997257622196,0.005968704629778996,2.2774835932683914,1.510331225009565
46,Sir_Luffwaffles1#7708807,127,3423,1.0670199501246882,11,63,7,110,8627,491,519,4.91,100,676,31069,1048199,98.70549898167006,39696,3208,0.9477611940298507,34.23,32.08,6.76,0.2173266827891979,0.013074365175332527,4.364601594182743,4.913808462168714
47,Grrrr pow#5106418,244,7783,0.9035291386115626,22,105,8,111,23349,837,1490,4.702247191011236,178,1655,90714,1616838,123.6236559139785,114063,8614,0.9682539682539683,43.7247191011236,48.39325842696629,9.297752808988765,0.20470266431708792,0.013062956436355348,5.017282485203447,4.6818924276669724
48,DeadShot1687#6299823,74,880,0.8888888888888888,8,35,5,110,1549,232,121,13.647058823529411,17,168,14118,414294,42.00775862068966,15667,990,0.9367088607594937,51.76470588235294,58.23529411764706,9.882352941176471,0.09887023680347226,0.007723239931065297,2.6538960437994934,2.5184118613833033
49,leandr1nho13#4383266,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Blom-Tiee#6925955,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Unfinishe#7062263,51,2886,1.0208701804032545,15,38,6,100,5588,109,384,2.056603773584906,53,588,25751,481328,223.47522935779816,31339,2827,0.8947368421052632,54.45283018867924,53.339622641509436,11.09433962264151,0.1783081783081783,0.012253103162194072,3.552366448967688,4.053152622041537
53,Sup Solaay#9600056,17,596,0.8198074277854195,13,15,6,0,1996,39,96,2.0526315789473686,19,152,8578,96234,259.6153846153846,10574,727,0.7391304347826086,31.36842105263158,38.26315789473684,8.0,0.18876489502553434,0.009078872706638926,2.1763244628621514,2.4138729457815655
54,Gaqwe33399#4850936,40,195,0.5718475073313783,6,12,4,44,796,51,34,5.1,10,44,3672,69095,111.29411764705884,4468,341,0.9090909090909091,19.5,34.1,4.4,0.17815577439570277,0.007609668755595345,2.0932591754491328,1.316727545847035
55,T3agan07#6903176,24,220,0.7457627118644068,5,14,4,9,710,53,50,6.625,8,33,2968,90214,75.0,3678,295,0.8571428571428571,27.5,36.875,4.125,0.19303969548667754,0.013594344752582926,1.782378464297002,1.5507699632866572
56,Thnikkamaan,136,4987,1.0972497249724973,16,44,6,46,18548,301,1027,2.1970802919708032,137,1189,69686,638080,323.5495016611296,88234,4545,0.9577464788732394,36.4014598540146,33.175182481751825,8.678832116788321,0.21021374980166377,0.011639504046059342,4.712094407835387,5.398447717734843
57,Mystica#3905510,108,2837,0.9323036477160696,10,80,8,111,8535,659,485,9.835820895522389,67,598,31407,1248840,50.4701062215478,39942,3043,0.9310344827586207,42.343283582089555,45.417910447761194,8.925373134328359,0.21368484302238244,0.012142606779830754,3.9147138180536576,3.920050266583033
58,user32849001#6793597,150,3874,0.9362010633156114,12,42,7,27,15214,294,761,2.2442748091603053,131,870,59960,563625,236.31836734693889,75174,4138,0.9554140127388535,29.572519083969464,31.587786259541986,6.641221374045801,0.20238380291058078,0.010123180887008806,4.65783183745333,4.56416491785434
60,Hunter_S_Bombin#4973033,1,28,0.875,6,1,2,0,105,3,9,1.5,2,2,602,3050,319.8,707,32,0.3333333333333333,14.0,16.0,1.0,0.1485148514851485,0.01272984441301273,0.23104906018664842,0.6065037829899521
61,blackiechan00,101,2750,0.7452574525745257,10,38,8,110,10051,258,528,2.031496062992126,127,809,43844,481785,267.8790697674419,53895,3690,0.926605504587156,21.653543307086615,29.055118110236222,6.3700787401574805,0.18649225345579368,0.009796827163929864,4.488650419562548,3.6101665278485435
65,Luluchiaa#8768510,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,fireland56#3811414,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Teo#8038666,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Mhamed9772#8788714,0,2,0.2,0,1,0,0,0,5,0,5.0,0,0,0,955,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,kamazsoft#1273914,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,TheRealKulumbele#2435541,2,3,0.1666666666666666,2,1,0,0,15,3,0,3.0,0,0,161,700,68.6,176,18,1.0,0.0,0.0,0.0,0.08522727272727272,0.0,0.0,0.0
73,Ksk gustav#1566519,35,656,0.6693877551020408,6,42,5,110,1358,286,143,17.875,16,91,5593,566898,30.98601398601399,6951,980,0.875,41.0,61.25,5.6875,0.19536757301107754,0.020572579484966193,2.4260151319598084,1.855936940601323
74,Papi flashy#5364268,251,5540,0.9494430162810624,14,54,10,110,18655,581,1002,3.0418848167539267,191,1363,85552,952848,187.79173838209985,104207,5835,0.9616858237547893,29.005235602094242,30.54973821989529,7.136125654450262,0.17901868396556853,0.009615476887349218,5.051036898236414,4.986734325857468
79,Conberve440#8622297,230,3200,0.9403467528651188,12,40,18,61,12185,499,565,2.053497942386832,243,662,40768,524931,168.0637274549098,52953,3403,0.9274193548387096,13.168724279835391,14.004115226337449,2.7242798353909463,0.23010971994032445,0.010669839291447132,5.094371499872282,5.165382491533867
80,JustZiggy,283,5604,1.0486526946107784,13,70,10,111,8397,751,687,3.542452830188678,212,379,38636,1124008,190.2687083888149,47033,5344,0.9658703071672355,26.433962264150942,25.20754716981132,1.7877358490566038,0.17853422065358365,0.014606765462547572,5.173767630485255,5.617198630849916
81,Lordtachanka438#7529291,2,37,0.6727272727272727,4,3,1,0,103,13,9,6.5,2,3,591,9805,101.44615384615383,694,55,0.6666666666666666,18.5,27.5,1.5,0.1484149855907781,0.012968299711815562,0.46209812037329684,0.46629901237669047
82,Luiselbetoven#1584978,34,1134,1.0161290322580645,9,22,6,3,4485,72,197,2.4827586206896552,29,313,18171,179015,258.8666666666667,22656,1116,0.85,39.10344827586207,38.48275862068966,10.793103448275861,0.19796080508474576,0.008695268361581921,2.862201455488503,3.421607053050772
83,RoboNupe#9691851,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Abyss#7220618,70,1766,0.927034120734908,15,26,5,13,6090,123,360,3.324324324324324,37,290,23058,243695,272.9512195121951,29148,1905,0.9333333333333333,47.729729729729726,51.486486486486484,7.837837837837838,0.20893371757925072,0.012350761630300536,3.370190051801276,3.3474441121940677
87,rftrtrtfd#7129073,93,2732,0.9687943262411348,13,33,5,3,8282,198,389,3.6666666666666665,54,770,27154,379143,200.6969696969697,35436,2820,0.9489795918367347,50.592592592592595,52.22222222222222,14.25925925925926,0.23371712382887458,0.010977536968055085,3.7854644523518117,3.8645051117778717
88,TashEll5389#3508436,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,RST KIRHA#3661611,12,362,1.0678466076696165,7,12,2,11,1626,31,46,3.875,8,90,6839,66090,195.19354838709685,8465,339,0.8571428571428571,45.25,42.375,11.25,0.19208505611340815,0.005434140578854105,1.782378464297002,2.22052459613009
91,thx f0r the kill#4114462,0,6,0.4285714285714285,0,1,0,110,0,3,1,3.0,0,3,0,2725,0.0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,prinz_rashid#8712420,0,0,0.0,0,1,0,110,0,5,0,5.0,0,0,0,900,0.0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,ERICKVEGA007#8654842,30,113,0.1348448687350835,5,8,4,0,400,100,18,3.333333333333333,30,69,11685,40990,271.776,12085,838,0.8823529411764706,3.7666666666666666,27.933333333333334,2.3,0.033098882912701695,0.0014894497310715764,3.0010565132313136,0.45863401447234303
94,Greyfox#8248495,2,279,1.0608365019011408,10,12,11,110,938,34,67,2.2666666666666666,15,77,3158,72420,152.41764705882352,4096,263,0.15384615384615385,18.6,17.533333333333335,5.133333333333334,0.22900390625,0.016357421875,0.4166231078618785,2.872798502309949
95,ezzyy0095#7778150,74,1172,0.932378679395386,12,32,7,31,3775,211,177,6.0285714285714285,35,221,19125,348521,96.24170616113744,22900,1257,0.9135802469135802,33.48571428571429,35.91428571428571,6.314285714285714,0.1648471615720524,0.007729257641921398,3.248095759879217,3.314930730362445
96,PaRaDoXx#2893506,29,211,0.9094827586206896,8,13,2,3,525,33,57,8.25,4,42,4078,77086,72.92727272727274,4603,232,0.9354838709677419,52.75,58.0,10.5,0.1140560504019118,0.012383228329350423,1.2968560152411879,1.2608108198116246
97,Trollkingdabs,157,2917,0.8847437063997573,12,32,6,37,6900,314,358,2.195804195804196,143,519,19882,347760,189.6171974522293,26782,3297,0.9631901840490797,20.3986013986014,23.055944055944057,3.629370629370629,0.25763572548726754,0.013367186916585767,4.780163232827027,4.390845552462284
99,LittleAiden0716#1189735,25,398,0.6347687400318979,7,16,10,110,1024,119,53,6.2631578947368425,19,81,3677,112483,83.3798319327731,4701,627,0.7142857142857143,20.94736842105263,33.0,4.2631578947368425,0.21782599446926185,0.011274196979366092,2.1031706994046004,1.8690378209062888
100,LUCIFERxDARK#8843871,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,MrDeniiz10#1986742,104,1546,0.8503850385038504,15,25,6,110,5003,178,365,2.918032786885246,61,220,16385,228695,221.0966292134832,21388,1818,0.9454545454545454,25.34426229508197,29.80327868852459,3.6065573770491803,0.23391621469983168,0.017065644286515802,3.8866443806729487,3.495825629269494
102,Legacy#3417190,99,3131,1.440865163368615,22,37,7,14,12248,253,430,2.720430107526881,93,530,46366,464210,176.9786561264822,58614,2173,0.9339622641509434,33.666666666666664,23.365591397849464,5.698924731182796,0.20896031664789982,0.007336131299689494,4.233276885114834,6.530864709186768
103,you1i#8115611,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Faisal_kh_14#4163654,1,3,0.2,1,1,0,0,8,2,1,2.0,0,2,106,975,154.2,114,15,1.0,0.0,0.0,0.0,0.07017543859649122,0.008771929824561403,0.0,0.0
